"id","best-image","broader","description","type","label","manto-url","wikidata-url","url"
"acanthus","","plant","","concept","Acanthus","","http://www.wikidata.org/entity/Q158091","https://p-lod.org/id/acanthus"
"achilles","","mythological_figure","","concept","Achilles","https://resource.manto.unh.edu/8182012","http://www.wikidata.org/entity/Q41746","https://p-lod.org/id/achilles"
"acroterion","","architecture","","concept","Acroterion","","http://www.wikidata.org/entity/Q421214","https://p-lod.org/id/acroterion"
"actaeon","","mythological_figure","","concept","Actaeon","","http://www.wikidata.org/entity/Q208531","https://p-lod.org/id/actaeon"
"actor","","generic_human_figure","","concept","Actor","","http://www.wikidata.org/entity/Q33999","https://p-lod.org/id/actor"
"admetus","","mythological_figure","","concept","Admetus","","http://www.wikidata.org/entity/Q192109","https://p-lod.org/id/admetus"
"adonis","","mythological_figure","","concept","Adonis","","http://www.wikidata.org/entity/Q163920","https://p-lod.org/id/adonis"
"aediculum","","","","concept","Aediculum","","http://www.wikidata.org/entity/Q507286","https://p-lod.org/id/aediculum"
"aegis","","shield","","concept","Aegis","","http://www.wikidata.org/entity/Q190662","https://p-lod.org/id/aegis"
"aeneas","","mythological_figure","","concept","Aeneas","","http://www.wikidata.org/entity/Q82732","https://p-lod.org/id/aeneas"
"aethra","","mythological_figure","","concept","Aethra","","http://www.wikidata.org/entity/Q11921121","https://p-lod.org/id/aethra"
"agave","","mythological_figure","Daughter of Cadmus","concept","Agave","http://resource.manto.unh.edu/8182040","http://www.wikidata.org/entity/Q381459","https://p-lod.org/id/agave"
"ajax","","mythological_figure","","concept","Ajax","","http://www.wikidata.org/entity/Q172725","https://p-lod.org/id/ajax"
"alabastron","","","","concept","Alabastron","","http://www.wikidata.org/entity/Q673338","https://p-lod.org/id/alabastron"
"alcestis","","mythological_figure","","concept","Alcestis","","http://www.wikidata.org/entity/Q320449","https://p-lod.org/id/alcestis"
"alcmene","","mythological_figure","","concept","Alcmene","","http://www.wikidata.org/entity/Q190543","https://p-lod.org/id/alcmene"
"alcove","","","","concept","Alcove","","http://www.wikidata.org/entity/Q1067091","https://p-lod.org/id/alcove"
"aloe","","plant","","concept","Aloe","","http://www.wikidata.org/entity/Q127134","https://p-lod.org/id/aloe"
"altar","","","","concept","Altar","","http://www.wikidata.org/entity/Q101687","https://p-lod.org/id/altar"
"amazon","","mythological_figure","","concept","Amazon","","http://www.wikidata.org/entity/Q134154","https://p-lod.org/id/amazon"
"amor","","deity","","concept","Amor","","http://www.wikidata.org/entity/Q5011","https://p-lod.org/id/amor"
"amphitrite","","deity","","concept","Amphitrite","","http://www.wikidata.org/entity/Q180222","https://p-lod.org/id/amphitrite"
"amphitryon","","mythological_figure","","concept","Amphitryon","","http://www.wikidata.org/entity/Q206214","https://p-lod.org/id/amphitryon"
"amphora","","","","concept","Amphora","","http://www.wikidata.org/entity/Q178401","https://p-lod.org/id/amphora"
"ampitheater","","","","concept","Ampitheater","","http://www.wikidata.org/entity/Q7362268","https://p-lod.org/id/ampitheater"
"amulet","","","","concept","Amulet","","http://www.wikidata.org/entity/Q131557","https://p-lod.org/id/amulet"
"amymone","","mythological_figure","","concept","Amymone","","http://www.wikidata.org/entity/Q482096","https://p-lod.org/id/amymone"
"anchor","","","","concept","Anchor","","http://www.wikidata.org/entity/Q168432","https://p-lod.org/id/anchor"
"andromeda","","mythological_figure","","concept","Andromeda","","http://www.wikidata.org/entity/Q161582","https://p-lod.org/id/andromeda"
"anfitrione","","","","concept","Anfitrione","","http://www.wikidata.org/entity/Q206214","https://p-lod.org/id/anfitrione"
"animal","","","","concept","Animal","","http://www.wikidata.org/entity/Q729","https://p-lod.org/id/animal"
"animal-skin","","","","concept","Animal skin","","http://www.wikidata.org/entity/Q3291230","https://p-lod.org/id/animal-skin"
"animal_emblem","","","","concept","Animal emblem","","http://www.wikidata.org/entity/Q100989638","https://p-lod.org/id/animal_emblem"
"animals_(mythological)","","","","concept","","","","https://p-lod.org/id/animals_(mythological)"
"ankh","","","","concept","Ankh","","http://www.wikidata.org/entity/Q180439","https://p-lod.org/id/ankh"
"anta","","","","concept","Anta","","http://www.wikidata.org/entity/Q101659","https://p-lod.org/id/anta"
"antefix","","architecture","","concept","Antefix","","http://www.wikidata.org/entity/Q571723","https://p-lod.org/id/antefix"
"antelope","","animal","","concept","Antelope","","http://www.wikidata.org/entity/Q25894","https://p-lod.org/id/antelope"
"antiope","","","","concept","Antiope","","http://www.wikidata.org/entity/Q461439","https://p-lod.org/id/antiope"
"anvil","","","","concept","Anvil","","http://www.wikidata.org/entity/Q104363","https://p-lod.org/id/anvil"
"ape","","animal","","concept","Ape","","http://www.wikidata.org/entity/Q102470","https://p-lod.org/id/ape"
"aphrodite","","olympian_deity","","concept","Aphrodite","","http://www.wikidata.org/entity/Q35500","https://p-lod.org/id/aphrodite"
"apis","","animal","","concept","Apis","","http://www.wikidata.org/entity/Q208150","https://p-lod.org/id/apis"
"apollo","","olympian_deity","","concept","Apollo","","http://www.wikidata.org/entity/Q37340","https://p-lod.org/id/apollo"
"apotropiac_foul","","","","concept","","","","https://p-lod.org/id/apotropiac_foul"
"apple","","fruit","","concept","Apple","","http://www.wikidata.org/entity/Q89","https://p-lod.org/id/apple"
"apse","","architecture","","concept","Apse","","http://www.wikidata.org/entity/Q170463","https://p-lod.org/id/apse"
"aquaria_(assemblages_of_fish_in_water)","","","","concept","Aquaria (assemblages of fish in water)","","","https://p-lod.org/id/aquaria_(assemblages_of_fish_in_water)"
"aquatic_plant","","plant","","concept","Aquatic plant","","http://www.wikidata.org/entity/Q186101","https://p-lod.org/id/aquatic_plant"
"aqueduct","","architecture","","concept","Aqueduct","","http://www.wikidata.org/entity/Q474","https://p-lod.org/id/aqueduct"
"arch","","architecture","","concept","Arch","","http://www.wikidata.org/entity/Q12277","https://p-lod.org/id/arch"
"arched_opening","","architecture","","concept","Arched opening","","http://www.wikidata.org/entity/Q12277","https://p-lod.org/id/arched_opening"
"architecture","","","","concept","Architecture","","http://www.wikidata.org/entity/Q12271","https://p-lod.org/id/architecture"
"archway","","architecture","","concept","Archway","","http://www.wikidata.org/entity/Q40097962","https://p-lod.org/id/archway"
"ares","","olympian_deity","","concept","Ares","","http://www.wikidata.org/entity/Q40901","https://p-lod.org/id/ares"
"argo","","mythological_figure","","concept","Argo","","http://www.wikidata.org/entity/Q317932","https://p-lod.org/id/argo"
"argos","","","","concept","","","","https://p-lod.org/id/argos"
"ariadne","luna_img_PALP_62535","mythological_figure","","concept","Ariadne","https://resource.manto.unh.edu/8187817","http://www.wikidata.org/entity/Q184874","https://p-lod.org/id/ariadne"
"arimaspian","","","","concept","Arimaspian","","http://www.wikidata.org/entity/Q661584","https://p-lod.org/id/arimaspian"
"arion","","poet","","concept","Arion","","http://www.wikidata.org/entity/Q312422","https://p-lod.org/id/arion"
"armor","","","","concept","Armor","","http://www.wikidata.org/entity/Q20793164","https://p-lod.org/id/armor"
"arrow","","weapon","","concept","Arrow","","http://www.wikidata.org/entity/Q45922","https://p-lod.org/id/arrow"
"artemis","","olympian_deity","","concept","Artemis","","http://www.wikidata.org/entity/Q39503","https://p-lod.org/id/artemis"
"artwork","","","","concept","Artwork","","http://www.wikidata.org/entity/Q838948","https://p-lod.org/id/artwork"
"ashlar_block","","","","concept","Ashlar block","","http://www.wikidata.org/entity/Q1122603","https://p-lod.org/id/ashlar_block"
"askos","","","","concept","Askos","","http://www.wikidata.org/entity/Q732286","https://p-lod.org/id/askos"
"atalanta","","","","concept","Atalanta","","http://www.wikidata.org/entity/Q190323","https://p-lod.org/id/atalanta"
"atalante","","","","concept","Atalante","","http://www.wikidata.org/entity/Q13375989","https://p-lod.org/id/atalante"
"athena","","olympian_deity","","concept","Athena","","http://www.wikidata.org/entity/Q37122","https://p-lod.org/id/athena"
"athenian","","","","concept","","","","https://p-lod.org/id/athenian"
"athlete","","generic_human_figure","","concept","Athlete","","http://www.wikidata.org/entity/Q2066131","https://p-lod.org/id/athlete"
"atlanta","","","","concept","","","","https://p-lod.org/id/atlanta"
"attis","","mythological_figure","","concept","Attis","","http://www.wikidata.org/entity/Q262016","https://p-lod.org/id/attis"
"auge","","mythological_figure","","concept","Auge","","http://www.wikidata.org/entity/Q760213","https://p-lod.org/id/auge"
"autumn","","","","concept","Autumn","","http://www.wikidata.org/entity/Q1314","https://p-lod.org/id/autumn"
