"id","type","label","p-in-p-url","sort-order-label","spatially-within","wikidata-url","latitude","longitude","url"
"r1-i1","insula","Insula I.1","http://pompeiiinpictures.com/pompeiiinpictures/Plans/plan_1_01.htm","r01-i01","r1","http://www.wikidata.org/entity/Q26960992",40.74854968358349,14.489891310504785,"http://p-lod.org/urn/urn:p-lod:id:r1-i1"
"r1-i10","insula","Insula I.10","http://pompeiiinpictures.com/pompeiiinpictures/Plans/plan_1_10.htm","r01-i10","r1","",40.74966366395608,14.489882890890165,"http://p-lod.org/urn/urn:p-lod:id:r1-i10"
"r1-i11","insula","Insula I.11","http://pompeiiinpictures.com/pompeiiinpictures/Plans/plan_1_11.htm","r01-i11","r1","",40.75077391095547,14.491097817369647,"http://p-lod.org/urn/urn:p-lod:id:r1-i11"
"r1-i12","insula","Insula I.12","http://pompeiiinpictures.com/pompeiiinpictures/Plans/plan_1_12.htm","r01-i12","r1","",40.75094153033392,14.491480745410787,"http://p-lod.org/urn/urn:p-lod:id:r1-i12"
"r1-i13","insula","Insula I.13","http://pompeiiinpictures.com/pompeiiinpictures/Plans/plan_1_14.htm","r01-i13","r1","",40.751108330224646,14.491867987729172,"http://p-lod.org/urn/urn:p-lod:id:r1-i13"
"r1-i14","insula","Insula I.14","http://pompeiiinpictures.com/pompeiiinpictures/Plans/plan_1_15.htm","r01-i14","r1","",40.750414025655886,14.49241502081436,"http://p-lod.org/urn/urn:p-lod:id:r1-i14"
"r1-i15","insula","Insula I.15","http://pompeiiinpictures.com/pompeiiinpictures/Plans/plan_1_16.htm","r01-i15","r1","",40.75024233847481,14.492032164626108,"http://p-lod.org/urn/urn:p-lod:id:r1-i15"
"r1-i16","insula","Insula I.16","http://pompeiiinpictures.com/pompeiiinpictures/Plans/plan_1_17.htm","r01-i16","r1","",40.750067774159064,14.491647075528148,"http://p-lod.org/urn/urn:p-lod:id:r1-i16"
"r1-i17","insula","Insula I.17","http://pompeiiinpictures.com/pompeiiinpictures/Plans/plan_1_18.htm","r01-i17","r1","",40.750123882025626,14.49115224665013,"http://p-lod.org/urn/urn:p-lod:id:r1-i17"
"r1-i18","insula","Insula I.18","http://pompeiiinpictures.com/pompeiiinpictures/Plans/plan_1_19.htm","r01-i18","r1","",40.75003592881499,14.490636451950188,"http://p-lod.org/urn/urn:p-lod:id:r1-i18"
"r1-i19","insula","Insula I.19","http://pompeiiinpictures.com/pompeiiinpictures/Plans/plan_1_19.htm","r01-i19","r1","",40.74950321069084,14.4902231322623,"http://p-lod.org/urn/urn:p-lod:id:r1-i19"
"r1-i2","insula","Insula I.2","http://pompeiiinpictures.com/pompeiiinpictures/Plans/plan_1_02.htm","r01-i02","r1","https://www.wikidata.org/wiki/Q27048554",40.74897621637044,14.489693398501831,"http://p-lod.org/urn/urn:p-lod:id:r1-i2"
"r1-i20","insula","Insula I.20","http://pompeiiinpictures.com/pompeiiinpictures/Plans/plan_1_20.htm","r01-i20","r1","",40.74975719535729,14.492941696946355,"http://p-lod.org/urn/urn:p-lod:id:r1-i20"
"r1-i21","insula","Insula I.21","http://pompeiiinpictures.com/pompeiiinpictures/Plans/plan_1_21.htm","r01-i21","r1","",40.74957996086961,14.492563946506683,"http://p-lod.org/urn/urn:p-lod:id:r1-i21"
"r1-i22","insula","Insula I.22","http://pompeiiinpictures.com/pompeiiinpictures/Plans/plan_1_22.htm","r01-i22","r1","",40.74940592810996,14.492171793752203,"http://p-lod.org/urn/urn:p-lod:id:r1-i22"
"r1-i23","insula","Insula I.23","http://pompeiiinpictures.com/pompeiiinpictures/Plans/plan_1_23.htm","r01-i23","r1","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i23"
"r1-i25","insula","Insula I.25","","r01-i25","r1","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i25"
