"id","arcgis-id","best-image","description","type","label","identifier","image-url","p-in-p-url","pleiades-url","plod-english-title","plod-italian-title","spatially-within","surface-area","wiki-en-url","wiki-it-url","wikidata-url","latitude","longitude","url"
"r1-i1-p1","BLD_000001","","Entertainment Buildings","property","Property I.1.1","r1-i1-p1","","http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2001%2001.htm","","Caupona of Epagatus","","r1-i1","91.35819","","","",40.74839595627285,14.490008782332643,"http://p-lod.org/urn/urn:p-lod:id:r1-i1-p1"
"r1-i1-p2","BLD_000002","","Entertainment Buildings","property","Property I.1.2","r1-i1-p2","","http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2001%2002.htm","","Bar","","r1-i1","82.90088","","","",40.74844567229665,14.489954132136463,"http://p-lod.org/urn/urn:p-lod:id:r1-i1-p2"
"r1-i1-p3","BLD_000003","","Entertainment Buildings","property","Property I.1.3","r1-i1-p3","","http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2001%2003.htm","","Statio of the muliones","","r1-i1","335.1821","","","",40.74852948595851,14.489931179546536,"http://p-lod.org/urn/urn:p-lod:id:r1-i1-p3"
"r1-i1-p5","","","","property","","","","","","","","r1-i1","","","","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i1-p5"
"r1-i1-p6","","","","property","","","","","","","","r1-i1","","","","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i1-p6"
"r1-i1-p7","","","","property","","","","","","","","r1-i1","","","","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i1-p7"
"r1-i1-p8","BLD_000004","","Entertainment Buildings; Guilds","property","Property I.1.8","r1-i1-p8","","http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2001%2008.htm","","Hospitium - Statio mulionum of Hermes.","","r1-i1","313.9267","","","",40.74864367423874,14.489797828330591,"http://p-lod.org/urn/urn:p-lod:id:r1-i1-p8"
"r1-i1-p9","","","","property","","","","","","","","r1-i1","","","","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i1-p9"
"r1-i10-p1","BLD_000005","","Shops","property","Property I.10.1","r1-i10-p1","","http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2010%2001.htm","","","","r1-i10","93.90915","","","",40.749946509812055,14.48993526748149,"http://p-lod.org/urn/urn:p-lod:id:r1-i10-p1"
"r1-i10-p10","","","","property","","","","","","","","r1-i10","","","","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i10-p10"
"r1-i10-p11","BLD_000006","","Private Dwellings; Shops","property","Property I.10.11","r1-i10-p11","","http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2010%2011.htm","","Casa di Tiberius-Claudius Eulogus","","r1-i10","487.3808","","","",40.74944861792621,14.489940767722576,"http://p-lod.org/urn/urn:p-lod:id:r1-i10-p11"
"r1-i10-p12","BLD_000007","","Temples","property","Property I.10.12","r1-i10-p12","","http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2010%2012.htm","","","","r1-i10","29.80038","","","",40.749495069034815,14.490146052943594,"http://p-lod.org/urn/urn:p-lod:id:r1-i10-p12"
"r1-i10-p13","BLD_000008","","Entertainment Buildings","property","Property I.10.13","r1-i10-p13","","http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2010%2013.htm","","Caupona of the Poppaei","","r1-i10","29.99351","","","",40.749576931834376,14.490318019741355,"http://p-lod.org/urn/urn:p-lod:id:r1-i10-p13"
"r1-i10-p18","BLD_000009","","Private Dwellings","property","Property I.10.18","r1-i10-p18","","http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2010%2018.htm","","Domus of Aufidius Primus and Ampliatus","","r1-i10","132.5168","","","",40.74987243894796,14.489974725475156,"http://p-lod.org/urn/urn:p-lod:id:r1-i10-p18"
"r1-i10-p2","","","","property","","","","","","","","r1-i10","","","","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i10-p2"
"r1-i10-p3","BLD_000010","","Entertainment Buildings","property","Property I.10.3","r1-i10-p3","","http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2010%2003.htm","","Taberna of Coponia","","r1-i10","83.58117","","","",40.749903088399655,14.489853694513224,"http://p-lod.org/urn/urn:p-lod:id:r1-i10-p3"
