"id","type","identifier","spatially-within","latitude","longitude","url"
"END","feature","END","END","","","http://p-lod.org/urn/urn:p-lod:id:END"
"r1-i1-p1-space-a","space","r1-i1-p1-space-a","r1-i1-p1",40.748392662274384,14.48995452737094,"http://p-lod.org/urn/urn:p-lod:id:r1-i1-p1-space-a"
"r1-i1-p1-space-b","space","r1-i1-p1-space-b","r1-i1-p1",40.748413818906215,14.489930023504336,"http://p-lod.org/urn/urn:p-lod:id:r1-i1-p1-space-b"
"r1-i1-p1-space-c","space","r1-i1-p1-space-c","r1-i1-p1",40.74836726420946,14.489973495235045,"http://p-lod.org/urn/urn:p-lod:id:r1-i1-p1-space-c"
"r1-i1-p1-space-d","space","r1-i1-p1-space-d","r1-i1-p1",40.748386886278794,14.490019118812063,"http://p-lod.org/urn/urn:p-lod:id:r1-i1-p1-space-d"
"r1-i1-p1-space-e","space","r1-i1-p1-space-e","r1-i1-p1",40.7484024579226,14.490062095921935,"http://p-lod.org/urn/urn:p-lod:id:r1-i1-p1-space-e"
"r1-i1-p1-space-f","space","r1-i1-p1-space-f","r1-i1-p1",40.748413507051694,14.490094560951611,"http://p-lod.org/urn/urn:p-lod:id:r1-i1-p1-space-f"
"r1-i1-p1-space-via-stabiana","space","r1-i1-p1-space-via-stabiana","r1-i1-p1","","","http://p-lod.org/urn/urn:p-lod:id:r1-i1-p1-space-via-stabiana"
"r1-i1-p1-space-vicolo-r1-i1-i5-fortification-wall","space","r1-i1-p1-space-vicolo-r1-i1-i5-fortification-wall","r1-i1-p1","","","http://p-lod.org/urn/urn:p-lod:id:r1-i1-p1-space-vicolo-r1-i1-i5-fortification-wall"
"r1-i1-p2-space-a","space","r1-i1-p2-space-a","r1-i1-p2",40.748441337910705,14.489901871704737,"http://p-lod.org/urn/urn:p-lod:id:r1-i1-p2-space-a"
"r1-i1-p2-space-b","space","r1-i1-p2-space-b","r1-i1-p2",40.748473735063506,14.489950138934265,"http://p-lod.org/urn/urn:p-lod:id:r1-i1-p2-space-b"
"r1-i1-p2-space-c","space","r1-i1-p2-space-c","r1-i1-p2",40.748435758765055,14.489986351519757,"http://p-lod.org/urn/urn:p-lod:id:r1-i1-p2-space-c"
"r1-i1-p2-space-via-stabiana","space","r1-i1-p2-space-via-stabiana","r1-i1-p2","","","http://p-lod.org/urn/urn:p-lod:id:r1-i1-p2-space-via-stabiana"
"r1-i1-p3-space-a","space","r1-i1-p3-space-a","r1-i1-p3",40.74847876683767,14.489869326816141,"http://p-lod.org/urn/urn:p-lod:id:r1-i1-p3-space-a"
"r1-i1-p3-space-b","space","r1-i1-p3-space-b","r1-i1-p3",40.74851134351192,14.489939463613926,"http://p-lod.org/urn/urn:p-lod:id:r1-i1-p3-space-b"
"r1-i1-p3-space-c","space","r1-i1-p3-space-c","r1-i1-p3",40.74857197699204,14.48992959182239,"http://p-lod.org/urn/urn:p-lod:id:r1-i1-p3-space-c"
"r1-i1-p3-space-d","space","r1-i1-p3-space-d","r1-i1-p3",40.7485943635308,14.489969654774532,"http://p-lod.org/urn/urn:p-lod:id:r1-i1-p3-space-d"
"r1-i1-p3-space-e","space","r1-i1-p3-space-e","r1-i1-p3",40.7485837348887,14.489880721499244,"http://p-lod.org/urn/urn:p-lod:id:r1-i1-p3-space-e"
"r1-i1-p3-space-f","space","r1-i1-p3-space-f","r1-i1-p3",40.7485354775013,14.490012552325867,"http://p-lod.org/urn/urn:p-lod:id:r1-i1-p3-space-f"
"r1-i1-p3-space-g","space","r1-i1-p3-space-g","r1-i1-p3",40.748479179656776,14.490010460254556,"http://p-lod.org/urn/urn:p-lod:id:r1-i1-p3-space-g"
"r1-i1-p3-space-h","space","r1-i1-p3-space-h","r1-i1-p3",40.748494063210245,14.490039484020395,"http://p-lod.org/urn/urn:p-lod:id:r1-i1-p3-space-h"
"r1-i1-p3-space-i","space","r1-i1-p3-space-i","r1-i1-p3",40.748442285916894,14.490055280109837,"http://p-lod.org/urn/urn:p-lod:id:r1-i1-p3-space-i"
"r1-i1-p3-space-via-stabiana","space","r1-i1-p3-space-via-stabiana","r1-i1-p3","","","http://p-lod.org/urn/urn:p-lod:id:r1-i1-p3-space-via-stabiana"
"r1-i1-p3-space-vicolo-r1-i1-r1-i5","space","r1-i1-p3-space-vicolo-r1-i1-r1-i5","r1-i1-p3","","","http://p-lod.org/urn/urn:p-lod:id:r1-i1-p3-space-vicolo-r1-i1-r1-i5"
"r1-i1-p5-space-a","space","r1-i1-p5-space-a","r1-i1-p5",40.748542642967166,14.489800262759381,"http://p-lod.org/urn/urn:p-lod:id:r1-i1-p5-space-a"
"r1-i1-p5-space-b","space","r1-i1-p5-space-b","r1-i1-p5",40.74856402120766,14.489843304705163,"http://p-lod.org/urn/urn:p-lod:id:r1-i1-p5-space-b"
"r1-i1-p5-space-c","space","r1-i1-p5-space-c","r1-i1-p5",40.748510978022885,14.489831182308041,"http://p-lod.org/urn/urn:p-lod:id:r1-i1-p5-space-c"
