"id","type","label","spatially-within","url"
"alley-001","street","Alley_001","r8","http://p-lod.org/urn/urn:p-lod:id:alley-001"
"alley-002","street","Alley_002","r8","http://p-lod.org/urn/urn:p-lod:id:alley-002"
"alley-003","street","Alley_003","r7","http://p-lod.org/urn/urn:p-lod:id:alley-003"
"alley-004","street","Alley_004","r8","http://p-lod.org/urn/urn:p-lod:id:alley-004"
"alley-005","street","Alley_005","r8","http://p-lod.org/urn/urn:p-lod:id:alley-005"
"alley-006","street","Alley_006","r7","http://p-lod.org/urn/urn:p-lod:id:alley-006"
"amphitheater-area","street","Amphitheater Area","r2","http://p-lod.org/urn/urn:p-lod:id:amphitheater-area"
"projected-via-di-nocera-north","street","Projected via di Nocera (North)","pompeii","http://p-lod.org/urn/urn:p-lod:id:projected-via-di-nocera-north"
"projected-via-mediana","street","Projected via Mediana","pompeii","http://p-lod.org/urn/urn:p-lod:id:projected-via-mediana"
"projected-vicolo-dei-gladiatori","street","Projected Vicolo dei Gladiatori","r5","http://p-lod.org/urn/urn:p-lod:id:projected-vicolo-dei-gladiatori"
"projected-vicolo-dei-gladiatori-south","street","Projected Vicolo dei Gladiatori (South)","r9","http://p-lod.org/urn/urn:p-lod:id:projected-vicolo-dei-gladiatori-south"
"projected-vicolo-del-centenario","street","Projected Vicolo del Centenario","r9","http://p-lod.org/urn/urn:p-lod:id:projected-vicolo-del-centenario"
"projected-vicolo-del-centenario-north","street","Projected Vicolo del Centenario (North)","r5","http://p-lod.org/urn/urn:p-lod:id:projected-vicolo-del-centenario-north"
"projected-vicolo-del-conciapelle","street","Projected Vicolo del Conciapelle","r1","http://p-lod.org/urn/urn:p-lod:id:projected-vicolo-del-conciapelle"
"projected-vicolo-delle-nozze-d-argento","street","Projected Vicolo delle Nozze d'Argento","pompeii","http://p-lod.org/urn/urn:p-lod:id:projected-vicolo-delle-nozze-d-argento"
"projected-vicolo-di-cecilio-giocondo","street","Projected Vicolo di Cecilio Giocondo","r5","http://p-lod.org/urn/urn:p-lod:id:projected-vicolo-di-cecilio-giocondo"
"projected-vicolo-di-lucrezio-frontone","street","Projected Vicolo di Lucrezio Frontone","r5","http://p-lod.org/urn/urn:p-lod:id:projected-vicolo-di-lucrezio-frontone"
"projected-vicolo-di-lucrezio-frontone-south","street","Projected Vicolo di Lucrezio Frontone (South)","r9","http://p-lod.org/urn/urn:p-lod:id:projected-vicolo-di-lucrezio-frontone-south"
"projected-vicolo-r1-i17-r1-i18","street","Projected Vicolo I.17-I.18","r#","http://p-lod.org/urn/urn:p-lod:id:projected-vicolo-r1-i17-r1-i18"
"projected-vicolo-r1-i18-r1-i19","street","Projected Vicolo I.18-I.19","r1","http://p-lod.org/urn/urn:p-lod:id:projected-vicolo-r1-i18-r1-i19"
"projected-vicolo-r1-i22-r1-i23","street","Projected Vicolo I.22-I.23","r1","http://p-lod.org/urn/urn:p-lod:id:projected-vicolo-r1-i22-r1-i23"
"projected-vicolo-r1-i23-r1-i24","street","Projected Vicolo I.23-I.24","r1","http://p-lod.org/urn/urn:p-lod:id:projected-vicolo-r1-i23-r1-i24"
"projected-vicolo-r1-i23r1-i24-r1-i25-fortification-wall","street","Projected Vicolo I.23-25-Fortification Wall","r1","http://p-lod.org/urn/urn:p-lod:id:projected-vicolo-r1-i23r1-i24-r1-i25-fortification-wall"
"projected-vicolo-r3-i1-r3-i2","street","Projected Vicolo III.1-III.2","r3","http://p-lod.org/urn/urn:p-lod:id:projected-vicolo-r3-i1-r3-i2"
"projected-vicolo-r3-i10-r3-i11","street","Projected Vicolo III.10-III.11","r3","http://p-lod.org/urn/urn:p-lod:id:projected-vicolo-r3-i10-r3-i11"
"projected-vicolo-r3-i11-r3-i12","street","Projected Vicolo III.11-III.12","r3","http://p-lod.org/urn/urn:p-lod:id:projected-vicolo-r3-i11-r3-i12"
"projected-vicolo-r3-i12-r3-i13","street","Projected Vicolo III.12-III.13","r3","http://p-lod.org/urn/urn:p-lod:id:projected-vicolo-r3-i12-r3-i13"
"projected-vicolo-r3-i13-r3-i14","street","Projected Vicolo III.13-III.14","r3","http://p-lod.org/urn/urn:p-lod:id:projected-vicolo-r3-i13-r3-i14"
"projected-vicolo-r3-i2-r3-i3","street","Projected Vicolo III.2-III.3","r3","http://p-lod.org/urn/urn:p-lod:id:projected-vicolo-r3-i2-r3-i3"
"projected-vicolo-r3-i4-r3-i5","street","Projected Vicolo III.4-III.5","r3","http://p-lod.org/urn/urn:p-lod:id:projected-vicolo-r3-i4-r3-i5"
"projected-vicolo-r3-i5-r3-i6","street","Projected Vicolo III.5-III.6","r3","http://p-lod.org/urn/urn:p-lod:id:projected-vicolo-r3-i5-r3-i6"
"projected-vicolo-r3-i6-r3-i7","street","Projected Vicolo III.6-III.7","r3","http://p-lod.org/urn/urn:p-lod:id:projected-vicolo-r3-i6-r3-i7"
